OBJECTID,GEAR_NAME,HAUL_ID,CRUISE,HAUL_NAME,NET,FOCI_GRID,BOTTOM_DEPTH,HAUL_PERFORMANCE,MESH,LAT,LON,PURPOSE,PRIMARY_NET,MIN_GEAR_DEPTH,MAX_GEAR_DEPTH,VOLUME_FILTERED,GEOGRAPHIC_AREA,GMT_DATE_TIME,COMMENTS_HAUL,POLYGONAL_AREA,STATION_NAME,MONTH_,YEAR_,DAY_,SHIP_CRUISE_NAME,SHIP_NAME,COMMENTS_SAMPLES,species_name,COMMON_NAME_1,COMMENTS_SPECIMEN,LARVALCATCHPER1000M3,LARVALCATCHPER10M2,STAGE_NAME,SPECIES_NAME_1,SPECIES_CODE_ICHBASE,SPECIES_NAME_ICHBASE,COMMON_NAME_ICHBASE
13,60BON,4MF07 74 2 60BON 1,4MF07,2,1,CN40,3205,GOOD,505,55.79016,-172.63367,GRID,Y,0,302,387.37268,BS,2007-05-15 23:40,,873.9733,74,5,2007,15,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,7.74448,23.38833,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
14,60BON,BE13-03 172 2 60BON 1,BE13-03,2,1,,25,QUEST,505,63.49245,-165.99901,PLNKSURV,Y,0,17,42.49383,BS,2013-09-17 16:04,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,172,9,2013,17,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
15,60BON,BE13-03 176 2 60BON 1,BE13-03,2,1,,26,QUEST,505,63.00184,-167.00956,PLNKSURV,Y,0,18,36.63332,BS,2013-09-19 3:19,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,176,9,2013,19,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
16,60BON,4DY10 11 1 60BON 1,4DY10,1,1,,92,GOOD,505,56.00402,-163.9975,PLNKSURV,Y,0,82,223.2488,BS,2010-08-21 3:59,A BASIS Project; Station ID 20103011. Volume filtered provided by collecting agency.,,11,8,2010,21,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
17,60BON,BE13-03 195 2 60BON 1,BE13-03,2,1,,30,QUEST,505,60.51539,-168.00882,PLNKSURV,Y,0,20,21.49008,BS,2013-09-24 16:07,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,195,9,2013,24,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
18,60BON,2DY10 87 2 60BON 2,2DY10,2,2,BM34,113,GOOD,500,56.43033,-168.89867,GRID,Y,0,105,233.54387,BS,2010-05-16 3:08,1 jelly in 60Bon Net 1,1089.823,87,5,2010,16,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
19,60BON,1WE10 63 2 60BON 1,1WE10,2,1,70M41,71,GOOD,505,59.97633,-172.7475,PLNKSURV,Y,0,60,111.25181,BS,2010-08-28 13:38,1 Jelly in60BON Net 1,,63,8,2010,28,WE10-08,Wecoma,,Gadus chalcogrammus,,,0,0,Larvae,,,,
20,60BON,3MF08 33 1 60BON 1,3MF08,1,1,W10,79,GOOD,500,56.35067,-161.81183,GRID,Y,0,79,136.67239,BS,2008-09-16 0:28,,1652.66,33,9,2008,16,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
21,60BON,3TT05 64 2 60BON 1,3TT05,2,1,70M05,75,GOOD,333,61.7345,-173.85417,PLNKSURV,Y,0,65,49.20584,BS,2005-05-21 20:22,Flowmeter revs < AVG - 2 SD.,,64,5,2005,21,TN179C,Thomas G. Thompson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
22,60BON,3MF08 45 1 60BON 1,3MF08,1,1,AR7,93,GOOD,500,55.2815,-164.30833,GRID,Y,0,84,140.16673,BS,2008-09-19 11:25,,1282.826,45,9,2008,19,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
23,60BON,3MF08 52 1 60BON 1,3MF08,1,1,AX4,74,QUEST,500,54.841,-164.87399,GRID,Y,0,66,116.50999,BS,2008-09-20 7:07,Wire angle at 33 deg.,724.8812,52,9,2008,20,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
24,60BON,3MF06 28 2 60BON 1,3MF06,2,1,BG13,142,GOOD,505,55.1365,-166.65033,GRID,Y,0,133,203.21555,BS,2006-05-12 20:10,,765.8012,28,5,2006,12,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,9.84177,13.08955,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
25,60BON,3DY08 37 2 60BON 1,3DY08,2,1,AI13,91,GOOD,335,56.08417,-163.58566,PLNKSURV,Y,0,84,114.18797,BS,2008-05-17 4:38,"""bongo at depth"" was pushed a couple seconds late. Time above is correct.",,37,5,2008,17,DY08-07,Oscar Dyson,,Gadus chalcogrammus,,,1015.86883,853.32982,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
26,60BON,3TT05 1 2 60BON 1,3TT05,2,1,PN1,58,QUEST,333,57.32784,-169.922,GRID,Y,0,48,90.4128,BS,2005-05-16 2:40,Winch stopped and restarted on the way down. Flowmeter revs < AVG - 2 SD.,,1,5,2005,16,TN179C,Thomas G. Thompson,,Gadus chalcogrammus,,Species changed SPECIES_CODE_ICHBASE from 500 to 168. (12/8/15),6979.1003,3349.96815,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
27,60BON,3MF06 76 2 60BON 1,3MF06,2,1,W13,72,GOOD,505,56.56167,-162.01817,GRID,Y,0,63,122.03668,BS,2006-05-17 9:11,"Lots of small gadids in 60BON. High density of ""brown"" phytoplankton in 20BON.",767.037,76,5,2006,17,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,1319.27548,831.14355,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
28,60BON,3MF06 83 2 60BON 2,3MF06,2,2,Q10,71,GOOD,505,56.58217,-161.00717,GRID,Y,0,61,125.44018,BS,2006-05-18 0:08,Jellyfish in 60Bon net1 so used net2 for QtowF.,767.2802,83,5,2006,18,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,1793.68365,1094.14703,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
29,60BON,3MF08 21 1 60BON 1,3MF08,1,1,E16,54,GOOD,500,57.5085,-159.87784,GRID,Y,0,44,91.03952,BS,2008-09-14 14:18,,1402.059,21,9,2008,14,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
30,60BON,3MF06 22 2 60BON 1,3MF06,2,1,BM01,73,GOOD,505,54.013,-166.60117,GRID,Y,0,61,104.74217,BS,2006-05-12 2:53,,658.496,22,5,2006,12,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,9.54725,5.82382,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
31,60BON,3MF06 25 2 60BON 1,3MF06,2,1,BJ7,419,GOOD,505,54.57167,-166.6315,GRID,Y,0,300,365.78976,BS,2006-05-12 11:21,,774.5416,25,5,2006,12,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,43.74097,131.22292,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
32,60BON,3AK11 23 2 60BON 1,3AK11,2,1,,100,QUEST,333,60.345,-174.34666,PLNKSURV,Y,0,70,269.16333,BS,2011-07-18 2:46,max angle at 60 deg.,,23,7,2011,18,AK11-03,Alaska Knight,,Gadus chalcogrammus,,,55.72825,39.00977,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
33,60BON,3AR08 1 1 60BON 1,3AR08,1,1,,129,GOOD,333,56.044,-167.70166,PLNKSURV,Y,0,120,205.08365,BS,2008-07-11 3:10,,,1,7,2008,11,200801,Arcturus,,Gadus chalcogrammus,,,0,0,Larvae,,,,
34,60BON,3DY11 17 2 60BON 1,3DY11,2,1,,73,GOOD,333,56.83533,-164.2955,PLNKSURV,Y,0,64,141.50183,BS,2011-09-27 6:22,70m isobath/4 small jellfish removed from sample,,17,9,2011,27,DY11-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
35,60BON,3DY08 48 2 60BON 1,3DY08,2,1,AO13,95,GOOD,335,55.92517,-164.35217,PLNKSURV,Y,0,88,149.0491,BS,2008-05-19 11:05,,,48,5,2008,19,DY08-07,Oscar Dyson,,Gadus chalcogrammus,,,33.54599,29.52047,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
36,60BON,3DY11 22 2 60BON 2,3DY11,2,2,,70,GOOD,500,57.42467,-166.81233,PLNKSURV,NPQ,0,61,163.26288,BS,2011-09-27 17:31,,,22,9,2011,27,DY11-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
37,60BON,3DY11 24 2 60BON 2,3DY11,2,2,,70,GOOD,500,57.5035,-168.00267,PLNKSURV,NPQ,0,61,127.85809,BS,2011-09-27 23:20,,,24,9,2011,27,DY11-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
38,60BON,3DY09 69 2 60BON 1,3DY09,2,1,BA13,121,GOOD,505,55.369,-165.90067,GRID,Y,0,111,195.95366,BS,2009-05-15 22:15,,1888.694,69,5,2009,15,DY09-07,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
39,60BON,3DY08 6 2 60BON 1,3DY08,2,1,BJ7,420,GOOD,335,54.56933,-166.62633,PLNKSURV,Y,0,300,542.4834,BS,2008-05-13 14:21,,,6,5,2008,13,DY08-07,Oscar Dyson,,Gadus chalcogrammus,,,9.21687,27.65062,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
40,60BON,4MF94 147 4 60BON 1,4MF94,4,1,,80,GOOD,333,54.1,-166.23171,PLNKSURV,Y,0,76,120.4607,BS,1994-04-28 23:04,,,147,4,1994,28,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,249.04388,189.27335,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
41,60BON,4MF94 148 2 60BON 1,4MF94,2,1,,165,GOOD,333,54.175,-166.2867,PLNKSURV,Y,0,159,255.905,BS,1994-04-29 1:06,,,148,4,1994,29,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,336.06221,534.33891,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
42,60BON,4MF07 3 2 60BON 1,4MF07,2,1,BP25,155,GOOD,505,55.64883,-168.63167,GRID,Y,0,145,171.32869,BS,2007-05-08 13:33,Haul performance marked QUEST for zooplankton.,883.1904,3,5,2007,8,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,5.83673,8.46326,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
43,60BON,4MF07 30 3 60BON 1,4MF07,3,1,BJ34,110,GOOD,505,56.54583,-168.51849,GRID,Y,0,100,172.10297,BS,2007-05-11 11:11,,743.1061,30,5,2007,11,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,17.43142,17.43142,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
44,60BON,4MF07 83 2 60BON 1,4MF07,2,1,CE34,2891,GOOD,505,55.708,-171.10417,GRID,Y,0,299,336.44354,BS,2007-05-16 21:16,,749.3741,83,5,2007,16,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,32.69494,97.75786,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
45,60BON,4MF07 84 2 60BON 1,4MF07,2,1,CE31,3242,GOOD,505,55.4885,-170.89684,GRID,Y,0,301,362.39945,BS,2007-05-16 23:34,,1036.738,84,5,2007,16,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,8.27816,24.91726,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
46,60BON,4MF07 94 1 60BON 1,4MF07,1,1,BM4,1257,QUEST,505,54.231,-166.7885,PLNKSURV,Y,0,601,596.14447,BS,2007-05-18 7:49,Wire angle at 32 deg.,,94,5,2007,18,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,3.35489,20.1629,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
47,60BON,4MF94 141 4 60BON 1,4MF94,4,1,,82,GOOD,333,54.525,-165.3967,PLNKSURV,Y,0,79,126.7126,BS,1994-04-28 1:04,,,141,4,1994,28,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,3101.50687,2450.19043,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
48,60BON,4MF94 142 1 60BON 1,4MF94,1,1,,191,QUEST,333,54.63167,-165.4967,PLNKSURV,Y,0,182,368.5773,BS,1994-04-28 2:58,Wire angle at 57 deg.,,142,4,1994,28,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,322.86307,587.61079,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
49,60BON,4WE97 51 2 60BON 1,4WE97,2,1,A6,47,GOOD,333,57.324,-170.14116,PLNKSURV,Y,0,40,76.60498,BS,1997-07-05 20:30,,,51,7,1997,5,WE97-06C,Wecoma,,Gadus chalcogrammus,,,2166.96095,866.78438,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
50,60BON,4WE97 63 2 60BON 1,4WE97,2,1,B6,65,GOOD,333,57.00433,-170.31317,PLNKSURV,Y,0,60,94.34479,BS,1997-07-06 19:16,,,63,7,1997,6,WE97-06C,Wecoma,,Gadus chalcogrammus,,,1229.53265,737.71959,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
51,60BON,5MF00 45 1 60BON 1,5MF00,1,1,,85,GOOD,333,56.42433,-163.41667,PLNKSURV,Y,0,81,121.33609,BS,2000-05-11 12:23,CAT - salinity failed on downcast. Removed one jellyfish from net 1. Net 2 full of jellies - discarded.,,45,5,2000,11,MF00-06,Miller Freeman,,Gadus chalcogrammus,,,107.14042,86.78374,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
52,60BON,4WE97 67 2 60BON 1,4WE97,2,1,B2,107,GOOD,333,56.79167,-170.52034,PLNKSURV,Y,0,97,151.03221,BS,1997-07-06 23:23,wire out questionable.,,67,7,1997,6,WE97-06C,Wecoma,,Gadus chalcogrammus,,,768.04809,745.00664,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
53,60BON,4MF07 71 3 60BON 1,4MF07,3,1,CN49,2691,GOOD,505,56.43217,-173.27251,GRID,Y,0,301,357.7594,BS,2007-05-15 11:33,,764.2686,71,5,2007,15,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
54,60BON,3DY12 177 2 60BON 1,3DY12,2,1,70M13,71,GOOD,505,57.52083,-167.0462,PLNKSURV,Y,0,61,187.519,BS,2012-09-22 6:29,,,177,9,2012,22,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
55,60BON,4DY10 31 1 60BON 1,4DY10,1,1,,50,GOOD,505,57.50293,-162.9995,PLNKSURV,Y,0,40,120.5895,BS,2010-08-26 14:28,A BASIS Project; Station ID 20103031. Volume filtered provided by collecting agency.,,31,8,2010,26,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
56,60BON,4DY10 503 1 60BON 1,4DY10,1,1,,106,GOOD,505,56.49852,-167.0009,PLNKSURV,Y,0,95,206.9643,BS,2010-09-17 22:17,A BASIS Project; Station ID 20103503. Volume filtered provided by collecting agency.,,503,9,2010,17,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
57,60BON,4DY10 519 1 60BON 1,4DY10,1,1,,159,GOOD,505,54.99889,-166.9996,PLNKSURV,Y,0,150,272.873,BS,2010-09-20 14:30,A BASIS Project; Station ID 20103519. Volume filtered provided by collecting agency.,,519,9,2010,20,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
58,60BON,1BE11 12 1 60BON 1,1BE11,1,1,20118012,77,GOOD,505,59,-171.001,PLNKSURV,Y,0,64,116.82197,BS,2011-08-24 12:28,,,12,8,2011,24,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
59,60BON,3DY12 18 1 60BON 1,3DY12,1,1,,41,GOOD,505,57.99683,-163.007,GRID,Y,0,31,111.2812,BS,2012-08-23 5:36,,,18,8,2012,23,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
60,60BON,3DY12 184 2 60BON 1,3DY12,2,1,70M07,71,GOOD,505,57.10917,-165.6165,PLNKSURV,Y,0,63,162.7471,BS,2012-09-23 9:49,,,184,9,2012,23,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
61,60BON,4DY10 544 1 60BON 1,4DY10,1,1,,78,GOOD,505,56.75254,-165.998,PLNKSURV,Y,0,68,162.1425,BS,2010-09-23 22:30,A BASIS Project; Station ID 20103544. Volume filtered provided by collecting agency.,,544,9,2010,23,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
62,60BON,4DY10 77 1 60BON 1,4DY10,1,1,,44,GOOD,505,58.50283,-166.998,PLNKSURV,Y,0,35,81.75941,BS,2010-09-13 2:35,A BASIS Project; Station ID 20103077. Volume filtered provided by collecting agency.,,77,9,2010,13,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
63,60BON,3DY12 85 1 60BON 1,3DY12,1,1,,54,GOOD,505,58.50267,-167.9728,GRID,Y,0,42,114.8534,BS,2012-09-10 0:43,,,85,9,2012,10,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
64,60BON,1BE11 33 1 60BON 1,1BE11,1,1,20118033,51,QUEST,505,61.5,-171.081,PLNKSURV,Y,0,31,69.49952,BS,2011-09-02 7:58,wire angle 61 deg at depth.,,33,9,2011,2,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
65,60BON,1BE11 4 1 60BON 1,1BE11,1,1,20118004,104,GOOD,505,57.002,-171.007,PLNKSURV,Y,0,94,90.10725,BS,2011-08-22 8:54,"Chrysoara m. in both nets, smaller jelly in net 2, fixed net 2. (400ml, 190mm) (225ml, 160mm)",,4,8,2011,22,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
66,60BON,3DY12 186 2 60BON 1,3DY12,2,1,70M05,75,GOOD,505,56.85283,-165.128,PLNKSURV,Y,0,66,131.5684,BS,2012-09-23 13:03,,,186,9,2012,23,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
67,60BON,5DY09 20 1 60BON 1,5DY09,1,1,,62,GOOD,505,57.49983,-162.9982,PLNKSURV,Y,0,53,89.17986,BS,2009-09-08 3:37,A BASIS Project; Station ID 20093020. Volume filtered provided by collecting agency.,,20,9,2009,8,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
68,60BON,5DY09 24 1 60BON 1,5DY09,1,1,,27,GOOD,505,58.4955,-165.0018,PLNKSURV,Y,0,17,34.64116,BS,2009-09-09 4:00,A BASIS Project; Station ID 20093024. Volume filtered provided by collecting agency.,,24,9,2009,9,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
69,60BON,2DY12 38 1 60BON 1,2DY12,1,1,AR16,97,GOOD,505,55.9475,-164.958,GRID,Y,0,86,176.2998,BS,2012-05-19 13:54,flowmeter on 20BON net 1 is too low.  Questionable.,,38,5,2012,19,DY12-05,Oscar Dyson,,Gadus chalcogrammus,,,5.67216,4.87805,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
70,60BON,5DY09 43 2 60BON 1,5DY09,2,1,,136,GOOD,505,55.497,-167.004,PLNKSURV,Y,0,127,162.3818,BS,2009-09-13 15:20,A BASIS Project; Station ID 20093043B. Volume filtered provided by collecting agency.,,43,9,2009,13,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
71,60BON,5DY09 47 1 60BON 1,5DY09,1,1,,473,GOOD,505,54.49467,-167.003,PLNKSURV,Y,0,200,306.5342,BS,2009-09-14 22:54,A BASIS Project; Station ID 20093047. Volume filtered provided by collecting agency.,,47,9,2009,14,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
72,60BON,1BE11 59 1 60BON 1,1BE11,1,1,20118059,17,QUEST,505,63.751,-162.999,PLNKSURV,Y,0,7,26.53072,BS,2011-09-11 16:02,"20ml jelly in net, fixed net 2. wire angle 62 deg at depth.",,59,9,2011,11,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
73,60BON,1BE11 67 1 60BON 1,1BE11,1,1,20118067,36,GOOD,505,64.501,-168.007,PLNKSURV,Y,0,24,51.37785,BS,2011-09-13 16:22,,,67,9,2011,13,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,58.39092,14.01382,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
74,60BON,2DY12 89 1 60BON 1,2DY12,1,1,T13,89,GOOD,505,56.682,-161.6287,GRID,Y,0,76,103.9513,BS,2012-05-23 6:35,,,89,5,2012,23,DY12-05,Oscar Dyson,,Gadus chalcogrammus,,,19.23978,14.62223,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
75,60BON,1BE11 9 1 60BON 2,1BE11,1,2,20118009,71,QUEST,505,58.501,-170.02,PLNKSURV,Y,0,45,91.59277,BS,2011-08-23 14:50,"net 1, bottom came out of cod end. Net 2 had a jelly, Chrysoara m. 128mm, 120ml. Preserved net 2. Lost ~15 crab to jelly. wire angle 58 deg at depth.",,9,8,2011,23,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
76,60BON,3BE12 149 2 60BON 1,3BE12,2,1,,16,GOOD,505,63.755,-163.4922,GRID,Y,0,10,31.8765,BS,2012-09-17 22:25,1 cyanea capillata net2 60bon 35 ml,,149,9,2012,17,BE2012,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
