OBJECTID,GEAR_NAME,HAUL_ID,CRUISE,NET,FOCI_GRID,LAT,LON,STATION_NAME,HAUL_NAME,GMT_DATE_TIME,BOTTOM_DEPTH,HAUL_PERFORMANCE,MESH,PURPOSE,PRIMARY_NET,MIN_GEAR_DEPTH,MAX_GEAR_DEPTH,VOLUME_FILTERED,GEOGRAPHIC_AREA,COMMENTS_HAUL,POLYGONAL_AREA,MONTH_,YEAR_,DAY_,SHIP_CRUISE_NAME,SHIP_NAME,COMMENTS_SAMPLES,species_name,COMMON_NAME_1,COMMENTS_SPECIMEN,LARVALCATCHPER1000M3,LARVALCATCHPER10M2,STAGE_NAME,SPECIES_NAME_1,SPECIES_CODE_ICHBASE,SPECIES_NAME_ICHBASE,COMMON_NAME_ICHBASE
23,60BON,3MF08 52 1 60BON 1,3MF08,1,AX4,54.841,-164.87399,52,1,9/20/2008 7:07,74,QUEST,500,GRID,Y,0,66,116.50999,BS,Wire angle at 33 deg.,724.8812,9,2008,20,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,17.16591,11.3295,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
24,60BON,3MF06 28 2 60BON 1,3MF06,1,BG13,55.1365,-166.65033,28,2,5/12/2006 20:10,142,GOOD,505,GRID,Y,0,133,203.21555,BS,,765.8012,5,2006,12,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
25,60BON,3DY08 37 2 60BON 1,3DY08,1,AI13,56.08417,-163.58566,37,2,5/17/2008 4:38,91,GOOD,335,PLNKSURV,Y,0,84,114.18797,BS,"""bongo at depth"" was pushed a couple seconds late. Time above is correct.",,5,2008,17,DY08-07,Oscar Dyson,,Gadus chalcogrammus,,,1812.80042,1522.75235,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
26,60BON,3TT05 1 2 60BON 1,3TT05,1,PN1,57.32784,-169.922,1,2,5/16/2005 2:40,58,QUEST,333,GRID,Y,0,48,90.4128,BS,Winch stopped and restarted on the way down. Flowmeter revs < AVG - 2 SD.,,5,2005,16,TN179C,Thomas G. Thompson,,Gadus chalcogrammus,,Reidentified from IchCode 165. (11/18/09),6226.99441,2988.95732,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
27,60BON,3MF06 76 2 60BON 1,3MF06,1,W13,56.56167,-162.01817,76,2,5/17/2006 9:11,72,GOOD,505,GRID,Y,0,63,122.03668,BS,"Lots of small gadids in 60BON. High density of ""brown"" phytoplankton in 20BON.",767.037,5,2006,17,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,221.24496,139.38432,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
28,60BON,3MF06 83 2 60BON 2,3MF06,2,Q10,56.58217,-161.00717,83,2,5/18/2006 0:08,71,GOOD,505,GRID,Y,0,61,125.44018,BS,Jellyfish in 60Bon net1 so used net2 for QtowF.,767.2802,5,2006,18,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,302.93324,184.78928,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
29,60BON,3MF08 21 1 60BON 1,3MF08,1,E16,57.5085,-159.87784,21,1,9/14/2008 14:18,54,GOOD,500,GRID,Y,0,44,91.03952,BS,,1402.059,9,2008,14,MF08-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
30,60BON,3MF06 22 2 60BON 1,3MF06,1,BM01,54.013,-166.60117,22,2,5/12/2006 2:53,73,GOOD,505,GRID,Y,0,61,104.74217,BS,,658.496,5,2006,12,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,19.09451,11.64765,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
31,60BON,3MF06 25 2 60BON 1,3MF06,1,BJ7,54.57167,-166.6315,25,2,5/12/2006 11:21,419,GOOD,505,GRID,Y,0,300,365.78976,BS,,774.5416,5,2006,12,MF06-06,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
32,60BON,3AK11 23 2 60BON 1,3AK11,1,,60.345,-174.34666,23,2,7/18/2011 2:46,100,QUEST,333,PLNKSURV,Y,0,70,269.16333,BS,max angle at 60 deg.,,7,2011,18,AK11-03,Alaska Knight,,Gadus chalcogrammus,,,0,0,Egg,,,,
33,60BON,3AR08 1 1 60BON 1,3AR08,1,,56.044,-167.70166,1,1,7/11/2008 3:10,129,GOOD,333,PLNKSURV,Y,0,120,205.08365,BS,,,7,2008,11,200801,Arcturus,,Gadus chalcogrammus,,,0,0,Egg,,,,
34,60BON,3DY11 17 2 60BON 1,3DY11,1,,56.83533,-164.2955,17,2,9/27/2011 6:22,73,GOOD,333,PLNKSURV,Y,0,64,141.50183,BS,70m isobath/4 small jellfish removed from sample,,9,2011,27,DY11-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
35,60BON,3DY08 48 2 60BON 1,3DY08,1,AO13,55.92517,-164.35217,48,2,5/19/2008 11:05,95,GOOD,335,PLNKSURV,Y,0,88,149.0491,BS,,,5,2008,19,DY08-07,Oscar Dyson,,Gadus chalcogrammus,,,248.24034,218.4515,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
36,60BON,3DY11 22 2 60BON 2,3DY11,2,,57.42467,-166.81233,22,2,9/27/2011 17:31,70,GOOD,500,PLNKSURV,NPQ,0,61,163.26288,BS,,,9,2011,27,DY11-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
37,60BON,3DY11 24 2 60BON 2,3DY11,2,,57.5035,-168.00267,24,2,9/27/2011 23:20,70,GOOD,500,PLNKSURV,NPQ,0,61,127.85809,BS,,,9,2011,27,DY11-05,Oscar Dyson,,Gadus chalcogrammus,,changed SPECIES_CODE_ICHBASE from 165 to 168 (6/6/2017),7.82117,4.77091,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
38,60BON,3DY09 69 2 60BON 1,3DY09,1,BA13,55.369,-165.90067,69,2,5/15/2009 22:15,121,GOOD,505,GRID,Y,0,111,195.95366,BS,,1888.694,5,2009,15,DY09-07,Oscar Dyson,,Gadus chalcogrammus,,,5.10325,5.6646,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
39,60BON,3DY08 6 2 60BON 1,3DY08,1,BJ7,54.56933,-166.62633,6,2,5/13/2008 14:21,420,GOOD,335,PLNKSURV,Y,0,300,542.4834,BS,,,5,2008,13,DY08-07,Oscar Dyson,,Gadus chalcogrammus,,,999.10891,2997.32674,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
40,60BON,4MF94 147 4 60BON 1,4MF94,1,,54.1,-166.23171,147,4,4/28/1994 23:04,80,GOOD,333,PLNKSURV,Y,0,76,120.4607,BS,,,4,1994,28,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,224.13949,170.34601,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
41,60BON,4MF94 148 2 60BON 1,4MF94,1,,54.175,-166.2867,148,2,4/29/1994 1:06,165,GOOD,333,PLNKSURV,Y,0,159,255.905,BS,,,4,1994,29,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,7.8154,12.42649,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
42,60BON,4MF07 3 2 60BON 1,4MF07,1,BP25,55.64883,-168.63167,3,2,5/8/2007 13:33,155,GOOD,505,GRID,Y,0,145,171.32869,BS,Haul performance marked QUEST for zooplankton.,883.1904,5,2007,8,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
43,60BON,4MF07 30 3 60BON 1,4MF07,1,BJ34,56.54583,-168.51849,30,3,5/11/2007 11:11,110,GOOD,505,GRID,Y,0,100,172.10297,BS,,743.1061,5,2007,11,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,11737.15945,11737.15945,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
44,60BON,4MF07 83 2 60BON 1,4MF07,1,CE34,55.708,-171.10417,83,2,5/16/2007 21:16,2891,GOOD,505,GRID,Y,0,299,336.44354,BS,,749.3741,5,2007,16,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,44.584,133.30617,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
45,60BON,4MF07 84 2 60BON 1,4MF07,1,CE31,55.4885,-170.89684,84,2,5/16/2007 23:34,3242,GOOD,505,GRID,Y,0,301,362.39945,BS,,1036.738,5,2007,16,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,2.75939,8.30575,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
46,60BON,4MF07 94 1 60BON 1,4MF07,1,BM4,54.231,-166.7885,94,1,5/18/2007 7:49,1257,QUEST,505,PLNKSURV,Y,0,601,596.14447,BS,Wire angle at 32 deg.,,5,2007,18,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
47,60BON,4MF94 141 4 60BON 1,4MF94,1,,54.525,-165.3967,141,4,4/28/1994 1:04,82,GOOD,333,PLNKSURV,Y,0,79,126.7126,BS,,,4,1994,28,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,31.5675,24.93832,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
48,60BON,4MF94 142 1 60BON 1,4MF94,1,,54.63167,-165.4967,142,1,4/28/1994 2:58,191,QUEST,333,PLNKSURV,Y,0,182,368.5773,BS,Wire angle at 57 deg.,,4,1994,28,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,2870.49691,5224.30437,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
49,60BON,4WE97 51 2 60BON 1,4WE97,1,A6,57.324,-170.14116,51,2,7/5/1997 20:30,47,GOOD,333,PLNKSURV,Y,0,40,76.60498,BS,,,7,1997,5,WE97-06C,Wecoma,,Gadus chalcogrammus,,,0,0,Egg,,,,
50,60BON,4WE97 63 2 60BON 1,4WE97,1,B6,57.00433,-170.31317,63,2,7/6/1997 19:16,65,GOOD,333,PLNKSURV,Y,0,60,94.34479,BS,,,7,1997,6,WE97-06C,Wecoma,,Gadus chalcogrammus,,,0,0,Egg,,,,
51,60BON,5MF00 45 1 60BON 1,5MF00,1,,56.42433,-163.41667,45,1,5/11/2000 12:23,85,GOOD,333,PLNKSURV,Y,0,81,121.33609,BS,CAT - salinity failed on downcast. Removed one jellyfish from net 1. Net 2 full of jellies - discarded.,,5,2000,11,MF00-06,Miller Freeman,,Gadus chalcogrammus,,,1120.85366,907.89146,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
52,60BON,4WE97 67 2 60BON 1,4WE97,1,B2,56.79167,-170.52034,67,2,7/6/1997 23:23,107,GOOD,333,PLNKSURV,Y,0,97,151.03221,BS,wire out questionable.,,7,1997,6,WE97-06C,Wecoma,,Gadus chalcogrammus,,,0,0,Egg,,,,
53,60BON,4MF07 71 3 60BON 1,4MF07,1,CN49,56.43217,-173.27251,71,3,5/15/2007 11:33,2691,GOOD,505,GRID,Y,0,301,357.7594,BS,,764.2686,5,2007,15,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Egg,,,,
54,60BON,3DY12 177 2 60BON 1,3DY12,1,70M13,57.52083,-167.0462,177,2,9/22/2012 6:29,71,GOOD,505,PLNKSURV,Y,0,61,187.519,BS,,,9,2012,22,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
55,60BON,4DY10 31 1 60BON 1,4DY10,1,,57.50293,-162.9995,31,1,8/26/2010 14:28,50,GOOD,505,PLNKSURV,Y,0,40,120.5895,BS,A BASIS Project; Station ID 20103031. Volume filtered provided by collecting agency.,,8,2010,26,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,8.2926,3.31704,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
56,60BON,4DY10 503 1 60BON 1,4DY10,1,,56.49852,-167.0009,503,1,9/17/2010 22:17,106,GOOD,505,PLNKSURV,Y,0,95,206.9643,BS,A BASIS Project; Station ID 20103503. Volume filtered provided by collecting agency.,,9,2010,17,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
57,60BON,4DY10 519 1 60BON 1,4DY10,1,,54.99889,-166.9996,519,1,9/20/2010 14:30,159,GOOD,505,PLNKSURV,Y,0,150,272.873,BS,A BASIS Project; Station ID 20103519. Volume filtered provided by collecting agency.,,9,2010,20,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
58,60BON,1BE11 12 1 60BON 1,1BE11,1,20118012,59,-171.001,12,1,8/24/2011 12:28,77,GOOD,505,PLNKSURV,Y,0,64,116.82197,BS,,,8,2011,24,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
59,60BON,3DY12 18 1 60BON 1,3DY12,1,,57.99683,-163.007,18,1,8/23/2012 5:36,41,GOOD,505,GRID,Y,0,31,111.2812,BS,,,8,2012,23,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
60,60BON,3DY12 184 2 60BON 1,3DY12,1,70M07,57.10917,-165.6165,184,2,9/23/2012 9:49,71,GOOD,505,PLNKSURV,Y,0,63,162.7471,BS,,,9,2012,23,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
61,60BON,4DY10 544 1 60BON 1,4DY10,1,,56.75254,-165.998,544,1,9/23/2010 22:30,78,GOOD,505,PLNKSURV,Y,0,68,162.1425,BS,A BASIS Project; Station ID 20103544. Volume filtered provided by collecting agency.,,9,2010,23,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
62,60BON,4DY10 77 1 60BON 1,4DY10,1,,58.50283,-166.998,77,1,9/13/2010 2:35,44,GOOD,505,PLNKSURV,Y,0,35,81.75941,BS,A BASIS Project; Station ID 20103077. Volume filtered provided by collecting agency.,,9,2010,13,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
63,60BON,3DY12 85 1 60BON 1,3DY12,1,,58.50267,-167.9728,85,1,9/10/2012 0:43,54,GOOD,505,GRID,Y,0,42,114.8534,BS,,,9,2012,10,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,8.70675,3.65684,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
64,60BON,1BE11 33 1 60BON 1,1BE11,1,20118033,61.5,-171.081,33,1,9/2/2011 7:58,51,QUEST,505,PLNKSURV,Y,0,31,69.49952,BS,wire angle 61 deg at depth.,,9,2011,2,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
65,60BON,1BE11 4 1 60BON 1,1BE11,1,20118004,57.002,-171.007,4,1,8/22/2011 8:54,104,GOOD,505,PLNKSURV,Y,0,94,90.10725,BS,"Chrysoara m. in both nets, smaller jelly in net 2, fixed net 2. (400ml, 190mm) (225ml, 160mm)",,8,2011,22,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,11.09789,10.43201,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
66,60BON,3DY12 186 2 60BON 1,3DY12,1,70M05,56.85283,-165.128,186,2,9/23/2012 13:03,75,GOOD,505,PLNKSURV,Y,0,66,131.5684,BS,,,9,2012,23,DY12-08,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
67,60BON,5DY09 20 1 60BON 1,5DY09,1,,57.49983,-162.9982,20,1,9/8/2009 3:37,62,GOOD,505,PLNKSURV,Y,0,53,89.17986,BS,A BASIS Project; Station ID 20093020. Volume filtered provided by collecting agency.,,9,2009,8,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
68,60BON,5DY09 24 1 60BON 1,5DY09,1,,58.4955,-165.0018,24,1,9/9/2009 4:00,27,GOOD,505,PLNKSURV,Y,0,17,34.64116,BS,A BASIS Project; Station ID 20093024. Volume filtered provided by collecting agency.,,9,2009,9,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
69,60BON,2DY12 38 1 60BON 1,2DY12,1,AR16,55.9475,-164.958,38,1,5/19/2012 13:54,97,GOOD,505,GRID,Y,0,86,176.2998,BS,flowmeter on 20BON net 1 is too low.  Questionable.,,5,2012,19,DY12-05,Oscar Dyson,,Gadus chalcogrammus,,,561.54346,482.92738,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
70,60BON,5DY09 43 2 60BON 1,5DY09,1,,55.497,-167.004,43,2,9/13/2009 15:20,136,GOOD,505,PLNKSURV,Y,0,127,162.3818,BS,A BASIS Project; Station ID 20093043B. Volume filtered provided by collecting agency.,,9,2009,13,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
71,60BON,5DY09 47 1 60BON 1,5DY09,1,,54.49467,-167.003,47,1,9/14/2009 22:54,473,GOOD,505,PLNKSURV,Y,0,200,306.5342,BS,A BASIS Project; Station ID 20093047. Volume filtered provided by collecting agency.,,9,2009,14,DY09-05,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Egg,,,,
72,60BON,1BE11 59 1 60BON 1,1BE11,1,20118059,63.751,-162.999,59,1,9/11/2011 16:02,17,QUEST,505,PLNKSURV,Y,0,7,26.53072,BS,"20ml jelly in net, fixed net 2. wire angle 62 deg at depth.",,9,2011,11,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
73,60BON,1BE11 67 1 60BON 1,1BE11,1,20118067,64.501,-168.007,67,1,9/13/2011 16:22,36,GOOD,505,PLNKSURV,Y,0,24,51.37785,BS,,,9,2011,13,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
74,60BON,2DY12 89 1 60BON 1,2DY12,1,T13,56.682,-161.6287,89,1,5/23/2012 6:35,89,GOOD,505,GRID,Y,0,76,103.9513,BS,,,5,2012,23,DY12-05,Oscar Dyson,,Gadus chalcogrammus,,,307.83646,233.95571,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
75,60BON,1BE11 9 1 60BON 2,1BE11,2,20118009,58.501,-170.02,9,1,8/23/2011 14:50,71,QUEST,505,PLNKSURV,Y,0,45,91.59277,BS,"net 1, bottom came out of cod end. Net 2 had a jelly, Chrysoara m. 128mm, 120ml. Preserved net 2. Lost ~15 crab to jelly. wire angle 58 deg at depth.",,8,2011,23,1BE11,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
76,60BON,3BE12 149 2 60BON 1,3BE12,1,,63.755,-163.4922,149,2,9/17/2012 22:25,16,GOOD,505,GRID,Y,0,10,31.8765,BS,1 cyanea capillata net2 60bon 35 ml,,9,2012,17,BE2012,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Egg,,,,
77,60BON,2DY12 127 1 60BON 1,2DY12,1,BG31,56.449,-167.9343,127,1,5/26/2012 1:18,127,GOOD,505,GRID,Y,0,117,308.5219,BS,60Bon net 2 large jelly,,5,2012,26,DY12-05,Oscar Dyson,,Gadus chalcogrammus,,,2388.80935,2794.90694,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
78,60BON,2DY12 171 1 60BON 1,2DY12,1,BM46,57.30867,-169.7748,171,1,5/30/2012 18:51,56,GOOD,505,GRID,Y,0,46,114.2898,BS,,,5,2012,30,DY12-05,Oscar Dyson,,Gadus chalcogrammus,,,227.49187,104.64626,Egg,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
